,Year,Conference,Round,Team1,Seed1,Odds1,Team2,Seed2,Odds2,WinningTeam,SeriesLength
170,2012,Western,Conf Semis,Oklahoma City Thunder,2,-450.0,Los Angeles Lakers,3,350.0,1,5.0
171,2012,Eastern,Round 1,Chicago Bulls,1,-1400.0,Philadelphia 76ers,8,900.0,2,6.0
172,2012,Eastern,Round 1,Miami Heat,2,-900.0,New York Knicks,7,650.0,1,5.0
173,2012,Eastern,Round 1,Indiana Pacers,3,-800.0,Orlando Magic,6,600.0,1,5.0
174,2012,Eastern,Round 1,Atlanta Hawks,4,160.0,Boston Celtics,5,-190.0,2,6.0
175,2012,Western,Round 1,San Antonio Spurs,1,-2500.0,Utah Jazz,8,1450.0,1,4.0
176,2012,Western,Round 1,Oklahoma City Thunder,2,-500.0,Dallas Mavericks,7,400.0,1,4.0
177,2012,Western,Round 1,Los Angeles Lakers,3,-240.0,Denver Nuggets,6,195.0,1,7.0
178,2012,Western,Round 1,Memphis Grizzlies,4,-200.0,Los Angeles Clippers,5,170.0,2,7.0
179,2011,,NBA Finals,Miami Heat,2,-175.0,Dallas Mavericks,3,155.0,2,6.0
180,2011,Eastern,Conf Finals,Chicago Bulls,1,160.0,Miami Heat,2,-190.0,2,5.0
181,2011,Western,Conf Finals,Dallas Mavericks,3,-240.0,Oklahoma City Thunder,4,200.0,1,5.0
182,2011,Eastern,Conf Semis,Chicago Bulls,1,-800.0,Atlanta Hawks,5,550.0,1,6.0
183,2011,Eastern,Conf Semis,Miami Heat,2,-190.0,Boston Celtics,3,165.0,1,5.0
184,2011,Western,Conf Semis,Los Angeles Lakers,2,-360.0,Dallas Mavericks,3,280.0,2,4.0
185,2011,Western,Conf Semis,Oklahoma City Thunder,4,-350.0,Memphis Grizzlies,8,275.0,1,7.0
186,2011,Eastern,Round 1,Chicago Bulls,1,-4000.0,Indiana Pacers,8,1200.0,1,5.0
187,2011,Eastern,Round 1,Miami Heat,2,-2500.0,Philadelphia 76ers,7,1000.0,1,5.0
188,2011,Eastern,Round 1,Boston Celtics,3,-350.0,New York Knicks,6,250.0,1,4.0
189,2011,Eastern,Round 1,Orlando Magic,4,-650.0,Atlanta Hawks,5,425.0,2,6.0
190,2011,Western,Round 1,San Antonio Spurs,1,-390.0,Memphis Grizzlies,8,280.0,2,6.0
191,2011,Western,Round 1,Los Angeles Lakers,2,-2500.0,New Orleans Hornets,7,1000.0,1,6.0
192,2011,Western,Round 1,Dallas Mavericks,3,-200.0,Portland Trail Blazers,6,160.0,1,6.0
193,2011,Western,Round 1,Oklahoma City Thunder,4,-220.0,Denver Nuggets,5,170.0,1,5.0
194,2010,,NBA Finals,Los Angeles Lakers,1,-190.0,Boston Celtics,4,165.0,1,7.0
195,2010,Eastern,Conf Finals,Orlando Magic,2,-260.0,Boston Celtics,4,220.0,2,6.0
196,2010,Western,Conf Finals,Los Angeles Lakers,1,-340.0,Phoenix Suns,3,270.0,1,6.0
197,2010,Eastern,Conf Semis,Cleveland Cavaliers,1,-480.0,Boston Celtics,4,380.0,2,6.0
198,2010,Eastern,Conf Semis,Orlando Magic,2,-800.0,Atlanta Hawks,3,550.0,1,4.0
199,2010,Western,Conf Semis,Los Angeles Lakers,1,-420.0,Utah Jazz,5,310.0,1,4.0
200,2010,Western,Conf Semis,Phoenix Suns,3,-140.0,San Antonio Spurs,7,120.0,1,4.0
201,2010,Eastern,Round 1,Cleveland Cavaliers,1,-3000.0,Chicago Bulls,8,1400.0,1,5.0
202,2010,Eastern,Round 1,Orlando Magic,2,-1000.0,Charlotte Bobcats,7,650.0,1,4.0
203,2010,Eastern,Round 1,Atlanta Hawks,3,-750.0,Milwaukee Bucks,6,550.0,1,7.0
204,2010,Eastern,Round 1,Boston Celtics,4,-175.0,Miami Heat,5,155.0,1,5.0
205,2010,Western,Round 1,Los Angeles Lakers,1,-800.0,Oklahoma City Thunder,8,600.0,1,6.0
206,2010,Western,Round 1,Dallas Mavericks,2,-150.0,San Antonio Spurs,7,130.0,2,6.0
207,2010,Western,Round 1,Phoenix Suns,3,-500.0,Portland Trail Blazers,6,400.0,1,6.0
208,2010,Western,Round 1,Denver Nuggets,4,-175.0,Utah Jazz,5,150.0,2,6.0
209,2009,,NBA Finals,Los Angeles Lakers,1,-280.0,Orlando Magic,3,240.0,1,5.0
210,2009,Eastern,Conf Finals,Cleveland Cavaliers,1,-700.0,Orlando Magic,3,550.0,2,6.0
211,2009,Western,Conf Finals,Los Angeles Lakers,1,-250.0,Denver Nuggets,2,210.0,1,6.0
212,2009,Eastern,Conf Semis,Cleveland Cavaliers,1,-2450.0,Atlanta Hawks,4,1000.0,1,4.0
213,2009,Eastern,Conf Semis,Boston Celtics,2,-120.0,Orlando Magic,3,100.0,2,7.0
214,2009,Western,Conf Semis,Los Angeles Lakers,1,-1100.0,Houston Rockets,5,700.0,1,7.0
215,2009,Western,Conf Semis,Denver Nuggets,2,-240.0,Dallas Mavericks,6,200.0,1,5.0
216,2009,Eastern,Round 1,Cleveland Cavaliers,1,-5000.0,Detroit Pistons,8,3000.0,1,4.0
217,2009,Eastern,Round 1,Boston Celtics,2,-545.0,Chicago Bulls,7,405.0,1,7.0
218,2009,Eastern,Round 1,Orlando Magic,3,-1400.0,Philadelphia 76ers,6,800.0,1,6.0
219,2009,Eastern,Round 1,Atlanta Hawks,4,-145.0,Miami Heat,5,125.0,1,7.0
220,2009,Western,Round 1,Los Angeles Lakers,1,-2000.0,Utah Jazz,8,1200.0,1,5.0
221,2009,Western,Round 1,Denver Nuggets,2,-210.0,New Orleans Hornets,7,175.0,1,5.0
222,2009,Western,Round 1,San Antonio Spurs,3,-190.0,Dallas Mavericks,6,160.0,2,5.0
223,2009,Western,Round 1,Portland Trail Blazers,4,-175.0,Houston Rockets,5,150.0,2,6.0
224,2008,,NBA Finals,Boston Celtics,1,160.0,Los Angeles Lakers,1,-180.0,1,6.0
225,2008,Eastern,Conf Finals,Boston Celtics,1,-135.0,Detroit Pistons,2,115.0,1,6.0
226,2008,Western,Conf Finals,Los Angeles Lakers,1,-250.0,San Antonio Spurs,3,210.0,1,5.0
227,2008,Eastern,Conf Semis,Boston Celtics,1,-900.0,Cleveland Cavaliers,4,600.0,1,7.0
228,2008,Eastern,Conf Semis,Detroit Pistons,2,-305.0,Orlando Magic,3,255.0,1,5.0
229,2008,Western,Conf Semis,Los Angeles Lakers,1,-350.0,Utah Jazz,4,290.0,1,6.0
230,2008,Western,Conf Semis,New Orleans Hornets,2,115.0,San Antonio Spurs,6,-135.0,2,7.0
231,2008,Eastern,Round 1,Boston Celtics,1,-8000.0,Atlanta Hawks,8,4000.0,1,7.0
232,2008,Eastern,Round 1,Detroit Pistons,2,-1300.0,Philadelphia 76ers,7,850.0,1,6.0
233,2008,Eastern,Round 1,Orlando Magic,3,-310.0,Toronto Raptors,6,260.0,1,5.0
234,2008,Eastern,Round 1,Cleveland Cavaliers,4,-115.0,Washington Wizards,5,-105.0,1,6.0
235,2008,Western,Round 1,Los Angeles Lakers,1,-560.0,Denver Nuggets,8,460.0,1,4.0
236,2008,Western,Round 1,New Orleans Hornets,2,-145.0,Dallas Mavericks,7,125.0,1,5.0
237,2008,Western,Round 1,San Antonio Spurs,3,-140.0,Phoenix Suns,6,120.0,1,5.0
238,2008,Western,Round 1,Houston Rockets,5,185.0,Utah Jazz,4,-215.0,2,6.0
239,2007,,NBA Finals,San Antonio Spurs,3,-450.0,Cleveland Cavaliers,2,360.0,1,4.0
240,2007,Eastern,Conf Finals,Detroit Pistons,1,-330.0,Cleveland Cavaliers,2,270.0,2,6.0
241,2007,Western,Conf Finals,San Antonio Spurs,3,-440.0,Utah Jazz,4,350.0,1,5.0
242,2007,Eastern,Conf Semis,Detroit Pistons,1,-175.0,Chicago Bulls,5,155.0,1,6.0
243,2007,Eastern,Conf Semis,Cleveland Cavaliers,2,-260.0,New Jersey Nets,6,220.0,1,6.0
244,2007,Western,Conf Semis,Phoenix Suns,2,-150.0,San Antonio Spurs,3,130.0,2,6.0
245,2007,Western,Conf Semis,Utah Jazz,4,-135.0,Golden State Warriors,8,115.0,1,5.0
246,2007,Eastern,Round 1,Detroit Pistons,1,-2200.0,Orlando Magic,8,1400.0,1,4.0
247,2007,Eastern,Round 1,Cleveland Cavaliers,2,-2400.0,Washington Wizards,7,1600.0,1,4.0
248,2007,Eastern,Round 1,Toronto Raptors,3,-165.0,New Jersey Nets,6,145.0,2,6.0
249,2007,Eastern,Round 1,Chicago Bulls,5,-140.0,Miami Heat,4,120.0,1,4.0
250,2007,Western,Round 1,Dallas Mavericks,1,-1800.0,Golden State Warriors,8,1200.0,2,6.0
251,2007,Western,Round 1,Phoenix Suns,2,-1600.0,Los Angeles Lakers,7,1000.0,1,5.0
252,2007,Western,Round 1,San Antonio Spurs,3,-750.0,Denver Nuggets,6,550.0,1,5.0
253,2007,Western,Round 1,Houston Rockets,5,-240.0,Utah Jazz,4,200.0,2,7.0
254,2006,,NBA Finals,Dallas Mavericks,4,-150.0,Miami Heat,2,130.0,2,6.0
255,2006,Eastern,Conf Finals,Detroit Pistons,1,-245.0,Miami Heat,2,205.0,2,6.0
256,2006,Western,Conf Finals,Dallas Mavericks,4,-355.0,Phoenix Suns,2,295.0,1,6.0
257,2006,Eastern,Conf Semis,Detroit Pistons,1,-2000.0,Cleveland Cavaliers,4,1200.0,1,6.0
